Account length,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Churn
36,42,196.8,89,33.46,254.9,122,21.67,138.3,126,TRUE
64,0,162.6,83,27.64,152.3,109,12.95,57.5,122,FALSE
74,0,282.5,114,48.03,219.9,48,18.69,170,115,TRUE
112,36,113.7,117,19.33,157.5,82,13.39,177.6,118,FALSE
97,0,239.8,125,40.77,214.8,111,18.26,143.3,81,FALSE
46,0,210.2,92,35.73,227.3,77,19.32,200.1,116,FALSE
41,22,213.8,102,36.35,141.8,86,12.05,142.2,123,FALSE
121,0,190.7,103,32.42,183.5,117,15.6,220.8,103,FALSE
193,0,170.9,124,29.05,132.3,95,11.25,112.9,89,FALSE
130,0,154.2,119,26.21,110.2,98,9.37,227.4,117,FALSE
85,0,201.4,52,34.24,229.4,104,19.5,252.5,106,FALSE
162,0,70.7,108,12.02,157.5,87,13.39,154.8,82,TRUE
61,27,187.5,124,31.88,146.6,103,12.46,225.7,129,TRUE
92,0,91.7,90,15.59,193.7,123,16.46,175,86,FALSE
131,36,214.2,115,36.41,161.7,117,13.74,264.7,102,FALSE
90,0,145.5,92,24.74,217.7,114,18.5,146.9,123,FALSE
75,0,166.3,125,28.27,158.2,86,13.45,256.7,80,FALSE
78,0,231,115,39.27,230.4,140,19.58,261.4,120,FALSE
82,0,200.3,96,34.05,201.2,102,17.1,206.1,60,FALSE
163,0,197,109,33.49,202.6,128,17.22,206.4,80,FALSE
91,0,129.9,112,22.08,173.3,83,14.73,247.2,130,FALSE
75,21,175.8,97,29.89,217.5,106,18.49,237.5,134,FALSE
91,0,203.1,106,34.53,210.1,113,17.86,195.6,129,FALSE
127,36,183.2,117,31.14,126.8,76,10.78,263.3,71,FALSE
113,23,205,101,34.85,152,60,12.92,158.6,59,FALSE
110,0,148.5,115,25.25,276.4,84,23.49,193.6,112,FALSE
120,39,200.3,68,34.05,220.4,97,18.73,253.8,116,FALSE
157,28,192.6,107,32.74,195.5,74,16.62,109.7,139,FALSE
103,0,246.5,47,41.91,195.5,84,16.62,200.5,96,FALSE
117,0,167.1,86,28.41,177.5,87,15.09,249.4,132,TRUE
140,0,231.9,101,39.42,160.1,94,13.61,110.4,98,FALSE
127,0,146.7,91,24.94,203.5,78,17.3,203.4,110,FALSE
83,0,271.5,87,46.16,216.3,126,18.39,121.1,105,FALSE
121,0,181.5,121,30.86,218.4,98,18.56,161.6,103,FALSE
145,43,257.7,97,43.81,162.1,95,13.78,286.9,86,FALSE
113,0,193.8,99,32.95,221.4,125,18.82,172.3,67,FALSE
117,0,102.8,119,17.48,206.7,91,17.57,299,105,FALSE
65,0,187.9,116,31.94,157.6,117,13.4,227.3,86,FALSE
56,0,226,112,38.42,248.5,118,21.12,140.5,142,FALSE
96,0,260.4,115,44.27,146,46,12.41,269.5,87,FALSE
151,0,178.7,116,30.38,292.1,138,24.83,265.9,101,FALSE
83,0,337.4,120,57.36,227.4,116,19.33,153.9,114,TRUE
139,23,157.6,129,26.79,247,96,21,259.2,112,FALSE
6,0,183.6,117,31.21,256.7,72,21.82,178.6,79,FALSE
115,24,142.1,124,24.16,183.4,129,15.59,164.8,114,FALSE
87,0,136.3,97,23.17,172.2,108,14.64,137.5,101,FALSE
141,0,217.1,110,36.91,241.5,111,20.53,253.5,103,FALSE
141,36,187.5,99,31.88,241.4,116,20.52,229.5,105,FALSE
62,0,98.9,103,16.81,135.4,122,11.51,236.6,82,FALSE
146,0,206.3,151,35.07,148.6,89,12.63,167.2,91,FALSE
92,33,243.1,92,41.33,213.8,92,18.17,228.7,104,FALSE
185,31,189.8,126,32.27,163.3,133,13.88,264.8,126,FALSE
148,0,202,102,34.34,243.2,128,20.67,261.3,90,FALSE
94,38,170.1,124,28.92,193.3,116,16.43,105.9,73,FALSE
32,0,230.9,87,39.25,187.4,90,15.93,154,53,FALSE
68,0,237.1,105,40.31,223.5,105,19,97.4,79,FALSE
64,27,182.1,91,30.96,169.7,98,14.42,164.7,86,FALSE
25,0,119.3,87,20.28,211.5,101,17.98,268.9,86,FALSE
65,0,116.8,87,19.86,178.9,93,15.21,182.4,150,FALSE
179,0,219.2,92,37.26,149.4,125,12.7,244.7,104,FALSE
94,0,252.6,104,42.94,169,125,14.37,170.9,106,FALSE
62,0,147.1,91,25.01,190.4,107,16.18,195.2,115,FALSE
127,0,202.1,103,34.36,229.4,86,19.5,195.2,113,FALSE
116,0,173.5,93,29.5,194.1,76,16.5,208,112,FALSE
70,0,232.1,122,39.46,292.3,112,24.85,201.2,112,FALSE
94,23,197.1,125,33.51,214.5,136,18.23,282.2,103,FALSE
126,0,58.2,94,9.89,138.7,118,11.79,136.8,91,TRUE
67,36,115.6,111,19.65,237.7,94,20.2,169.9,103,FALSE
19,0,186.1,98,31.64,254.3,57,21.62,214,127,FALSE
170,0,259.9,68,44.18,245,122,20.83,134.4,121,FALSE
73,0,214.3,145,36.43,268.5,135,22.82,241.2,92,FALSE
106,0,158.7,74,26.98,64.3,139,5.47,198.5,103,FALSE
93,0,271.6,71,46.17,229.4,108,19.5,77.3,121,FALSE
164,0,160.6,111,27.3,163.2,126,13.87,187.1,112,FALSE
51,0,232.4,109,39.51,187.4,95,15.93,231.2,107,FALSE
107,0,133.8,85,22.75,180.5,94,15.34,112.2,115,FALSE
130,0,176.9,109,30.07,90.7,104,7.71,238,69,FALSE
80,0,209.9,74,35.68,195.1,77,16.58,208.2,119,FALSE
94,0,137.5,118,23.38,203.2,88,17.27,150,131,FALSE
118,23,289.5,52,49.22,166.6,111,14.16,119.1,88,FALSE
117,23,198.1,86,33.68,177,86,15.05,180.5,92,FALSE
78,0,149.7,119,25.45,182.2,115,15.49,261.5,126,FALSE
208,0,326.5,67,55.51,176.3,113,14.99,181.7,102,TRUE
131,26,292.9,101,49.79,199.7,97,16.97,255.3,127,TRUE
63,0,83,64,14.11,177,106,15.05,245.7,89,FALSE
53,24,145.7,146,24.77,220.5,136,18.74,249.9,96,FALSE
62,0,182.3,101,30.99,328.2,93,27.9,245,131,FALSE
97,0,218,86,37.06,184,94,15.64,240.5,110,FALSE
105,0,140.6,109,23.9,178.6,51,15.18,217,83,FALSE
157,0,152.7,105,25.96,257.5,80,21.89,198.1,93,FALSE
66,36,106.7,76,18.14,209.8,77,17.83,190.4,117,FALSE
122,0,243.8,98,41.45,83.9,72,7.13,179.8,84,FALSE
38,0,194.4,94,33.05,186.7,95,15.87,223.3,90,FALSE
106,0,213.9,95,36.36,151.9,70,12.91,260.1,124,FALSE
99,0,217.2,112,36.92,246.7,89,20.97,226.1,89,FALSE
99,0,241.1,72,40.99,155.6,98,13.23,188.2,109,FALSE
144,0,203.5,100,34.6,247.6,103,21.05,194.3,94,FALSE
82,24,155.2,131,26.38,244.5,106,20.78,122.4,68,FALSE
86,31,167.6,139,28.49,113,118,9.61,246.9,121,FALSE
70,0,226.7,98,38.54,228.1,115,19.39,73.2,93,TRUE
93,0,179.3,93,30.48,178.6,98,15.18,225.2,131,FALSE
93,0,151.4,89,25.74,186.4,76,15.84,172.5,120,FALSE
120,0,180,80,30.6,224.2,82,19.06,265.4,91,FALSE
136,0,250.2,121,42.53,267.1,118,22.7,151,114,TRUE
106,0,223,121,37.91,110.1,98,9.36,188.7,107,FALSE
81,0,183.6,116,31.21,152.6,98,12.97,212.2,99,FALSE
127,22,166,114,28.22,174.5,103,14.83,244.9,68,FALSE
65,0,136.1,112,23.14,272.9,96,23.2,220.2,104,FALSE
35,0,149.3,113,25.38,242.2,122,20.59,174.3,104,FALSE
88,0,65.4,97,11.12,168.2,76,14.3,236,113,FALSE
65,0,213.4,111,36.28,234.5,94,19.93,250.1,123,FALSE
123,0,206.9,85,35.17,244.7,78,20.8,221.5,136,FALSE
126,27,186.2,78,31.65,189.6,83,16.12,76.5,139,FALSE
104,23,280.2,136,47.63,220.5,92,18.74,136.9,102,FALSE
45,22,196.6,84,33.42,313.2,92,26.62,163.3,108,FALSE
93,0,312,109,53.04,129.4,100,11,217.6,74,TRUE
63,36,199,110,33.83,291.3,111,24.76,197.6,92,FALSE
100,0,203.1,96,34.53,217,126,18.45,180.9,122,FALSE
53,0,168.8,97,28.7,220.3,87,18.73,154.3,113,FALSE
92,0,173.1,140,29.43,240.3,105,20.43,233.2,117,FALSE
139,0,134.4,106,22.85,211.3,98,17.96,193.6,125,TRUE
110,40,202.6,103,34.44,118.8,128,10.1,234.9,98,FALSE
110,0,74.5,117,12.67,200.8,98,17.07,192.2,101,FALSE
215,0,83.6,148,14.21,120.9,91,10.28,226.6,110,FALSE
73,0,192.2,86,32.67,168.6,116,14.33,139.8,87,FALSE
138,0,220.2,89,37.43,88.3,125,7.51,195.3,79,FALSE
137,0,135.1,95,22.97,134.1,102,11.4,223.1,81,TRUE
36,0,253.4,77,43.08,182.4,151,15.5,275.8,103,FALSE
85,0,225,81,38.25,176.9,63,15.04,194.3,110,FALSE
108,0,198.5,99,33.75,267.8,60,22.76,354.9,75,TRUE
22,0,110.3,107,18.75,166.5,93,14.15,202.3,96,FALSE
107,37,60,102,10.2,102.2,80,8.69,261.8,106,FALSE
51,0,214.8,94,36.52,149.7,58,12.72,283.4,66,FALSE
94,0,181.8,85,30.91,202.4,98,17.2,245.9,97,FALSE
119,23,154,114,26.18,278,137,23.63,228.4,112,FALSE
33,29,157.4,99,26.76,117.9,80,10.02,279.2,79,TRUE
106,0,207.9,91,35.34,172,109,14.62,191.8,143,FALSE
82,0,207,90,35.19,232.9,83,19.8,172.4,108,FALSE
86,41,119,101,20.23,230,134,19.55,236.9,58,FALSE
97,0,143.7,117,24.43,273,82,23.21,178.3,81,FALSE
106,32,165.9,126,28.2,216.5,93,18.4,173.1,86,FALSE
108,0,138.6,122,23.56,172.3,117,14.65,231.6,92,FALSE
114,0,84.7,118,14.4,249.9,86,21.24,193.4,95,FALSE
92,0,62.6,111,10.64,180.6,126,15.35,221.7,80,TRUE
59,0,155.2,79,26.38,235.3,123,20,169.4,80,FALSE
24,25,164.9,110,28.03,209.3,105,17.79,231.2,55,FALSE
151,0,134.5,88,22.87,143.1,112,12.16,223.9,61,FALSE
117,0,143.3,103,24.36,211.3,108,17.96,185.2,96,FALSE
78,0,168.3,110,28.61,221.2,73,18.8,241,136,FALSE
155,0,262.4,55,44.61,194.6,113,16.54,146.5,85,FALSE
114,30,206.2,79,35.05,260,91,22.1,291.6,83,FALSE
114,28,225.8,94,38.39,193,117,16.41,232.4,100,FALSE
119,0,138.3,89,23.51,170.5,78,14.49,263.9,98,FALSE
64,48,94.4,104,16.05,136.2,101,11.58,147.4,89,FALSE
118,0,160,123,27.2,175.4,96,14.91,184.8,99,FALSE
101,0,206.6,105,35.12,224.9,117,19.12,249.9,100,FALSE
117,0,134.7,121,22.9,180,83,15.3,200.9,104,FALSE
49,28,214.4,78,36.45,235.2,100,19.99,206.2,107,FALSE
139,0,192.8,104,32.78,234.4,96,19.92,203.2,101,FALSE
92,28,151.1,90,25.69,194.8,79,16.56,239.2,114,FALSE
83,0,221.4,103,37.64,231.8,103,19.7,122.5,100,FALSE
148,0,218.9,88,37.21,208,85,17.68,203.3,99,FALSE
144,48,189.8,96,32.27,123.4,67,10.49,214.2,106,TRUE
131,25,192.7,85,32.76,225.9,105,19.2,254.2,59,FALSE
146,0,204.4,135,34.75,219.1,90,18.62,222.7,114,FALSE
143,0,172.3,97,29.29,174,108,14.79,188.2,119,FALSE
81,0,198.4,93,33.73,210.9,108,17.93,193.3,71,FALSE
48,37,211.7,115,35.99,159.9,84,13.59,144.1,80,FALSE
86,28,221.6,74,37.67,288.4,100,24.51,240.3,105,FALSE
71,0,197.9,108,33.64,181.5,109,15.43,281.4,56,FALSE
145,24,147.5,90,25.08,175.7,108,14.93,252.1,102,FALSE
137,0,206.4,122,35.09,128,102,10.88,194.5,84,FALSE
137,0,205.9,88,35,209.3,86,17.79,289.9,84,FALSE
167,0,207.6,88,35.29,132.4,63,11.25,255.2,98,FALSE
89,0,303.9,95,51.66,260.9,114,22.18,312.1,89,TRUE
199,34,230.6,121,39.2,219.4,99,18.65,299.3,94,FALSE
132,0,99.5,110,16.92,129.1,80,10.97,125.1,124,FALSE
94,0,177.1,112,30.11,194,112,16.49,146.7,108,FALSE
96,37,172.7,93,29.36,120.1,116,10.21,216.1,86,TRUE
96,18,172.7,86,29.36,133.4,113,11.34,259.5,70,FALSE
166,0,204.2,115,34.71,179.9,152,15.29,216.8,109,FALSE
74,0,85.7,83,14.57,247.7,67,21.05,142.4,85,FALSE
36,0,157.6,117,26.79,184.3,58,15.67,240.4,99,FALSE
113,0,215.5,129,36.64,218.7,117,18.59,207.1,91,FALSE
94,0,181.5,98,30.86,199.9,88,16.99,287.7,114,FALSE
67,0,171.7,80,29.19,110.4,81,9.38,195.4,111,FALSE
127,0,266.6,106,45.32,264.8,168,22.51,207.2,119,TRUE
121,0,170.4,108,28.97,350.5,68,29.79,297,87,TRUE
158,0,158,106,26.86,292.5,114,24.86,241.1,89,FALSE
136,0,92,117,15.64,253.6,77,21.56,214.1,90,FALSE
196,0,234,109,39.78,249.5,114,21.21,173.1,70,FALSE
113,0,272.1,111,46.26,268.5,118,22.82,213.8,105,TRUE
122,0,296.4,99,50.39,214.8,89,18.26,133.9,107,TRUE
112,0,194.4,101,33.05,190.3,82,16.18,183.4,107,FALSE
209,0,227.2,128,38.62,258.4,92,21.96,183.5,74,FALSE
62,0,248.7,109,42.28,220,118,18.7,265.7,78,TRUE
110,38,236.3,102,40.17,195.9,112,16.65,183.5,82,FALSE
16,0,205.6,69,34.95,169.5,93,14.41,220.1,64,FALSE
73,0,94.1,136,16,280.3,122,23.83,205,77,FALSE
128,0,125.2,99,21.28,205.4,107,17.46,254.4,111,FALSE
39,0,60.4,158,10.27,306.2,120,26.03,123.9,46,FALSE
103,28,121,105,20.57,270.4,100,22.98,160.5,76,FALSE
119,29,117.8,66,20.03,256.8,114,21.83,147.6,76,FALSE
173,21,232.4,96,39.51,211.9,118,18.01,273,102,FALSE
128,32,223.5,81,38,188.8,74,16.05,154.9,101,TRUE
86,0,176.3,79,29.97,259.2,97,22.03,287.4,78,FALSE
114,32,125.2,79,21.28,177.8,105,15.11,232.4,89,FALSE
104,0,138.7,107,23.58,256.9,113,21.84,234.9,74,FALSE
148,0,86.3,134,14.67,246.6,92,20.96,251.6,91,FALSE
129,0,207,91,35.19,154.9,121,13.17,245.1,112,FALSE
100,30,58.8,104,10,219.5,107,18.66,152.3,118,FALSE
121,35,68.7,95,11.68,209.2,69,17.78,197.4,42,FALSE
143,33,239.2,109,40.66,235.5,112,20.02,156.3,95,FALSE
76,0,198.3,130,33.71,217.1,86,18.45,188.4,96,FALSE
158,0,205.2,97,34.88,240.6,77,20.45,79.7,108,FALSE
116,0,192.1,98,32.66,312.9,135,26.6,130.2,94,FALSE
54,0,272.6,83,46.34,248.7,74,21.14,197.4,111,TRUE
86,0,128.3,121,21.81,197.1,93,16.75,138.4,152,TRUE
108,0,169.6,99,28.83,264.1,87,22.45,206.3,78,FALSE
66,0,201.3,95,34.22,152.8,66,12.99,233.2,101,FALSE
151,17,214.7,97,36.5,138.5,90,11.77,169.1,44,FALSE
99,0,169.2,70,28.76,271.5,77,23.08,170.2,104,FALSE
55,0,194.1,121,33,176.6,110,15.01,302.8,136,FALSE
77,0,233.8,104,39.75,266.5,94,22.65,212.7,104,FALSE
78,0,225.1,67,38.27,199.2,127,16.93,175.5,102,FALSE
89,0,213,63,36.21,176.6,71,15.01,262.6,126,TRUE
101,0,183.9,115,31.26,255.9,101,21.75,275,145,FALSE
44,34,221.8,105,37.71,161.7,85,13.74,227.7,62,FALSE
98,21,64.6,98,10.98,176.1,86,14.97,244.8,84,FALSE
64,37,154.6,92,26.28,83.4,103,7.09,165.9,99,FALSE
141,0,260.2,131,44.23,179.2,120,15.23,135,119,FALSE
81,33,161.6,117,27.47,123,90,10.46,261.3,101,FALSE
162,0,220.6,117,37.5,155.2,121,13.19,186.7,89,FALSE
83,41,155.9,122,26.5,162.3,107,13.8,127.6,105,FALSE
100,0,107,63,18.19,105.7,67,8.98,243.1,74,TRUE
59,0,182.5,104,31.03,204.7,95,17.4,229.9,100,FALSE
179,38,220.1,78,37.42,234.3,71,19.92,237.3,85,FALSE
79,0,152.2,112,25.87,177.2,132,15.06,96.4,87,FALSE
117,0,181.5,95,30.86,205.1,88,17.43,204,82,FALSE
64,0,236.2,77,40.15,218.6,85,18.58,194.1,97,TRUE
31,0,166.1,105,28.24,79.3,93,6.74,213.7,98,FALSE
124,0,244.6,89,41.58,188.8,80,16.05,206,114,FALSE
122,23,134.2,85,22.81,227.3,132,19.32,122.4,96,FALSE
37,39,149.7,122,25.45,211.1,75,17.94,114.3,90,FALSE
90,29,150.1,109,25.52,264.7,103,22.5,178.4,97,FALSE
159,0,257.1,53,43.71,312.2,127,26.54,183,82,TRUE
148,0,124.4,83,21.15,179.7,81,15.27,253,99,FALSE
39,36,141.7,121,24.09,232.3,113,19.75,222.1,131,FALSE
77,0,230,87,39.1,103.2,138,8.77,309.6,136,FALSE
194,0,162.3,88,27.59,213.7,118,18.16,192.1,81,FALSE
154,0,350.8,75,59.64,216.5,94,18.4,253.9,100,TRUE
112,0,193.3,96,32.86,264.1,123,22.45,128.6,115,FALSE
45,0,78.2,127,13.29,253.4,108,21.54,255,100,FALSE
132,0,83.4,110,14.18,232.2,137,19.74,146.7,114,FALSE
128,0,195.6,99,33.25,267.8,120,22.76,164.9,76,FALSE
135,0,201.8,81,34.31,225,114,19.13,204.4,82,FALSE
56,0,197,110,33.49,222.8,102,18.94,225.3,91,FALSE
151,0,218,57,37.06,114.4,88,9.72,269.2,95,TRUE
32,0,164.8,98,28.02,229.9,96,19.54,167.3,108,FALSE
90,0,179.2,77,30.46,210.7,99,17.91,276.9,58,FALSE
87,21,214,113,36.38,180,114,15.3,134.5,82,FALSE
138,0,170.5,87,28.99,118.2,116,10.05,187.9,111,FALSE
79,0,205.7,123,34.97,214.5,108,18.23,226.1,106,FALSE
95,0,165.5,84,28.14,286.2,112,24.33,198.9,89,TRUE
127,0,221,100,37.57,160.7,113,13.66,233.1,96,FALSE
137,0,242.1,118,41.16,191,93,16.24,218.6,50,FALSE
97,0,151.6,107,25.77,155.4,96,13.21,240,112,FALSE
149,0,176.2,87,29.95,145,81,12.33,249.5,92,FALSE
117,22,196,82,33.32,322.7,82,27.43,225.6,120,FALSE
84,0,159.5,125,27.12,247.1,90,21,187.9,82,FALSE
137,0,230.2,113,39.13,220.4,79,18.73,204.7,111,FALSE
99,0,146.7,64,24.94,274,99,23.29,321.3,98,FALSE
54,0,210.5,102,35.79,204.5,83,17.38,127.8,53,FALSE
85,0,102,95,17.34,270.2,139,22.97,148.2,105,FALSE
150,0,126,99,21.42,238.5,73,20.27,285.1,100,FALSE
43,0,168.4,125,28.63,243.8,89,20.72,214.7,102,FALSE
35,0,105.6,129,17.95,258.2,129,21.95,213.1,77,FALSE
98,0,206.5,92,35.11,176.2,152,14.98,232.8,115,FALSE
112,0,217.1,76,36.91,205.2,100,17.44,185.7,91,FALSE
16,0,229.6,78,39.03,205.7,108,17.48,166.2,91,TRUE
98,22,278.3,89,47.31,93.4,143,7.94,107.6,42,FALSE
84,0,138.6,102,23.56,199,93,16.92,204.1,137,FALSE
94,0,234.4,103,39.85,279.3,109,23.74,234.2,121,TRUE
84,0,181.5,129,30.86,130.7,112,11.11,186.5,118,FALSE
66,0,167.3,91,28.44,230,68,19.55,191.7,118,TRUE
98,31,121,105,20.57,218.9,98,18.61,226.7,110,FALSE
74,0,221.1,124,37.59,110.8,94,9.42,240.1,112,FALSE
96,26,145.8,108,24.79,192.2,89,16.34,165.1,96,FALSE
