x,y,cld,dtr,frs,pre,tmn,tmp,elevation,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
46.090064,50.729202,75.5,6.3,30.68,37.9,-11.7,-8.5,148,234.2697435,0.00451319,1
46.4737,50.634,75.5,6.3,30.68,37.9,-11.7,-8.5,148,234.2697435,0.00451319,1
35.14742,32.5347,57.2,8.1,0.15,114.1,9.2,13.2,167,1945.913549,0,1
35.386941,32.83736,57.2,8.1,0.15,114.1,9.2,13.2,167,1945.913549,0,1
35.60182,32.68543,56.2,8.2,1.21,87.2,7.7,11.8,159,558.6841025,0,1
35.52139,32.84946,56.2,8.2,1.21,87.2,7.7,11.8,159,558.6841025,0,1
35.386941,32.83736,57.2,8.1,0.15,114.1,9.2,13.2,167,1945.913549,0,1
35.386941,32.83736,57.2,8.1,0.15,114.1,9.2,13.2,167,1945.913549,0,1
35.59485,32.96377,56.2,8.2,1.21,87.2,7.7,11.8,159,558.6841025,0,1
35.10078,32.88721,57.2,8.1,0.15,114.1,9.2,13.2,167,1945.913549,0,1
35.63843,32.75435,56.2,8.2,1.21,87.2,7.7,11.8,159,558.6841025,0,1
35.6,32.8,56.2,8.2,1.21,87.2,7.7,11.8,159,558.6841025,0,1
35.571879,32.905111,56.2,8.2,1.21,87.2,7.7,11.8,159,558.6841025,0,1
35.6,32.8,56.2,8.2,1.21,87.2,7.7,11.8,159,558.6841025,0,1
51.97163,56.704273,66.1,6.2,31,48,-16.8,-13.7,155,287.8432979,0.000276697,1
52.057739,53.277093,65.5,7.3,31,37.3,-17.1,-13.4,159,313.0785092,0.001298,1
71.765426,54.303234,47.5,8.4,31,4.5,-25.2,-21,153,273.1004233,0.014103236,1
72.288125,55.608657,49.8,8.3,31,4.5,-26,-21.8,153,191.1906738,0.000414864,1
48.42049,53.06498,71.9,6.3,31,46.4,-14.8,-11.6,154,191.9188095,0.000202869,1
49.0166,53.2418,71.9,6.2,31,45.1,-15,-11.9,151,0,0.001142567,1
50.769,53.569,67.2,6.3,31,47,-16.1,-12.9,144,224.6525478,0.001929675,1
43.47123,41.275959,65.3,10.1,31,35.8,-15,-9.9,200,693.2585781,0.018679905,1
48.682356,53.31121,71.9,6.3,31,45.3,-14.6,-11.4,160,541.0955888,0.090783198,1
52.0527,53.6039,66.9,6.9,31,38.4,-17.1,-13.6,149,223.9860321,0.001396443,1
63.242,56.924,62.9,7.6,31,8.4,-20.8,-17,156,66.68872963,0.000183841,1
71.599406,54.308897,47.5,8.4,31,4.5,-25.2,-21,153,273.1004233,0.014103236,1
72.579005,54.293137,45.8,8.3,31,5,-25.7,-21.5,155,255.1086888,0.008745306,1
73.552699,54.960695,48,8.1,31,5,-25.7,-21.6,153,268.8964691,0.003544422,1
51.795,53.928,66.9,6.9,31,41.5,-17,-13.5,152,223.7699429,0.002104975,1
63.7378,54.272,41.7,8.9,31,4.4,-23.3,-18.8,159,129.6842959,0.001487305,1
65.452267,55.51875,46,8.2,31,6.1,-22.7,-18.6,157,93.88023891,0.00022425,1
63.82546,54.43286,41.7,8.9,31,4.4,-23.3,-18.8,159,129.6842959,0.001487305,1
48.620115,53.367471,71.9,6.3,31,45.3,-14.6,-11.4,160,541.0955888,0.090783198,1
61.737598,55.391565,52.9,8.1,31,6.7,-20.8,-16.7,160,559.5466462,0.120827602,1
42.998808,41.637857,66.4,9.8,30.78,62.8,-12.1,-7.2,149,1620.225271,0.004158643,1
48.223867,52.720618,72.2,6.3,31,48.5,-14.5,-11.3,150,276.2739316,0.001188016,1
43.04024,41.63781,68.9,9.6,30.84,37.8,-12.4,-7.6,197,296.7153223,0.280069241,1
49.967458,53.578116,71.3,6.2,31,47.1,-15.5,-12.4,152,223.6049016,0.000343344,1
61.078315,54.968664,51.6,8.2,31,6.3,-21,-16.9,158,606.0038124,0.154632748,1
48.598902,52.848873,71,6.5,31,43.2,-14.4,-11.1,153,188.1844683,0.001018926,1
60.0987,54.013498,56.3,8.5,31,7,-22,-17.7,164,245.2306087,0.001185613,1
50.441284,53.011447,71.2,6.2,31,44.6,-15.4,-12.3,151,470.3342472,0.01592319,1
50.455518,53.173852,71.2,6.2,31,44.6,-15.4,-12.3,151,470.3342472,0.01592319,1
50.368106,53.155601,71.2,6.2,31,44.6,-15.4,-12.3,151,470.3342472,0.01592319,1
50.431088,53.098593,71.2,6.2,31,44.6,-15.4,-12.3,151,470.3342472,0.01592319,1
49.807109,53.052669,71.9,6.3,31,44.3,-15.4,-12.2,151,0,0,1
49.090837,53.378337,71.9,6.2,31,45.1,-15,-11.9,151,0,0.001142567,1
63.421231,54.671767,38,8.7,31,5.3,-22.4,-18,158,121.3357421,0.000543365,1
63.587311,54.676385,38.3,8.7,31,5.1,-22.7,-18.3,155,123.2178945,0.000314604,1
64.01455,54.652009,46.3,8.7,31,4.6,-22.9,-18.5,155,139.3843779,0.000764792,1
63.274788,54.358231,44.1,8.8,31,4.5,-22.9,-18.5,152,194.6554923,0.001484874,1
63.873514,54.656506,38.3,8.7,31,5.1,-22.7,-18.3,155,123.2178945,0.000314604,1
64.10991,54.342329,39.3,8.7,31,4.2,-23.3,-18.9,155,140.8923822,0.004954133,1
64.156846,54.77412,46.3,8.7,31,4.6,-22.9,-18.5,155,139.3843779,0.000764792,1
68.213566,55.074366,42.8,8.5,31,3.7,-24.8,-20.5,156,112.1626548,0.001854746,1
68.196559,55.111809,42.8,8.5,31,3.7,-24.8,-20.5,156,112.1626548,0.001854746,1
63.258643,54.6207,38,8.7,31,5.3,-22.4,-18,158,121.3357421,0.000543365,1
63.841314,54.68896,38.3,8.7,31,5.1,-22.7,-18.3,155,123.2178945,0.000314604,1
64.086675,54.626375,46.3,8.7,31,4.6,-22.9,-18.5,155,139.3843779,0.000764792,1
42.794891,41.698604,66.4,9.8,30.78,62.8,-12.1,-7.2,149,1620.225271,0.004158643,1
42.719268,41.668965,66.4,9.8,30.78,62.8,-12.1,-7.2,149,1620.225271,0.004158643,1
42.773602,41.674306,66.4,9.8,30.78,62.8,-12.1,-7.2,149,1620.225271,0.004158643,1
49.07513,52.850265,70.9,6.5,31,41.2,-14.9,-11.6,157,181.5863885,0.001444467,1
49.877967,52.997772,70.8,6.5,31,41,-15.3,-12,158,170.7139539,0.001472443,1
49.77079,53.039687,71.9,6.3,31,44.3,-15.4,-12.2,151,0,0,1
49.889646,53.118124,71.9,6.3,31,44.3,-15.4,-12.2,151,0,0,1
49.816844,52.849799,70.8,6.5,31,41,-15.3,-12,158,170.7139539,0.001472443,1
63.360682,54.354174,44.1,8.8,31,4.5,-22.9,-18.5,152,194.6554923,0.001484874,1
63.353109,54.303767,44.1,8.8,31,4.5,-22.9,-18.5,152,194.6554923,0.001484874,1
63.576414,54.291491,41.7,8.9,31,4.4,-23.3,-18.8,159,129.6842959,0.001487305,1
64.004208,54.336731,39.3,8.7,31,4.2,-23.3,-18.9,155,140.8923822,0.004954133,1
64.238059,54.361429,39.3,8.7,31,4.2,-23.3,-18.9,155,140.8923822,0.004954133,1
50.029927,53.22743,71.2,6.2,31,44.6,-15.4,-12.3,151,470.3342472,0.01592319,1
50.641825,53.109637,70.7,6.4,31,43.1,-15.8,-12.6,147,197.8194671,0.004234842,1
49.269036,53.152559,71.9,6.2,31,45.1,-15,-11.9,151,0,0.001142567,1
62.977607,54.567477,39.2,8.7,31,5.2,-22.2,-17.8,156,136.7594908,0.000595602,1
17.69,-17.67,67.5,13.2,0,139,19.2,25.8,183,615.0518471,0,1
15.45,-17.71,67.5,12.5,0,108,18,24.2,181,2229.486428,0,1
17.21,-17.56,67.5,13.3,0,129,19.3,25.9,184,917.7234228,0,1
16.02,-17.95,67.5,13.1,0,112,19.1,25.6,182,2046.742155,0,1
15.95,-17.48,70,13.1,0,104,18.6,25.1,182,2020.265911,0,1
16.28,-17.51,67.5,13.1,0,112,19.1,25.6,182,2046.742155,0,1
15.87,-17.48,70,13.1,0,104,18.6,25.1,182,2020.265911,0,1
16.37,-18.17,66.3,13.3,0,108,19.2,25.8,183,1855.0008,0,1
20.18,-17.89,67.5,11.9,0,167.2,18.5,24.4,183,118.4295612,0,1
18.5,-18.07,66.3,12.7,0,143,19.1,25.4,183,295.0583533,0,1
49.68818,52.980902,70.8,6.5,31,41,-15.3,-12,158,170.7139539,0.001472443,1
49.602486,52.950457,70.8,6.5,31,41,-15.3,-12,158,170.7139539,0.001472443,1
49.02,53.42,71.9,6.2,31,45.1,-15,-11.9,151,0,0.001142567,1
50.643142,53.233671,70.7,6.4,31,43.1,-15.8,-12.6,147,197.8194671,0.004234842,1
50.652361,53.079425,70.7,6.4,31,43.1,-15.8,-12.6,147,197.8194671,0.004234842,1
48.858764,53.507068,71.2,6,31,45.9,-15.1,-12.1,150,222.8317263,0.000149522,1
63.664276,54.568605,38.3,8.7,31,5.1,-22.7,-18.3,155,123.2178945,0.000314604,1
49.056908,53.394898,71.9,6.2,31,45.1,-15,-11.9,151,0,0.001142567,1
49.445011,53.087542,71.9,6.2,31,45.1,-15,-11.9,151,0,0.001142567,1
19.122602,43.155515,76.9,6,26.87,52.7,-5.6,-2.6,184,645.6373083,0,1
19.107739,42.553753,76.3,6,26.09,73.1,-4.8,-1.8,176,394.7467143,0,1
19.785956,42.736248,78.7,5.8,27.59,65.2,-6.4,-3.5,157,548.1908323,0,1
19.756191,43.036942,79.9,6.1,25.57,51.7,-4.3,-1.2,186,363.4449205,0,1
19.860373,42.837934,78.7,5.8,27.59,65.2,-6.4,-3.5,157,548.1908323,0,1
19.583587,42.960077,78.7,5.8,27.59,65.2,-6.4,-3.5,157,548.1908323,0,1
19.940754,42.600134,78.7,5.8,27.59,65.2,-6.4,-3.5,157,548.1908323,0,1
19.259364,42.43042,71.8,7,13.65,121.5,1.6,5.1,147,0,0,1
19.524081,42.820475,78.7,5.8,27.59,65.2,-6.4,-3.5,157,548.1908323,0,1
19.940754,42.600134,78.7,5.8,27.59,65.2,-6.4,-3.5,157,548.1908323,0,1
18.841038,43.154137,75.4,6,26.77,55.8,-5.5,-2.5,205,0,0,1
19.094363,42.95778,76.3,6,26.09,73.1,-4.8,-1.8,176,394.7467143,0,1
19.583587,42.960077,78.7,5.8,27.59,65.2,-6.4,-3.5,157,548.1908323,0,1
19.524081,42.820475,78.7,5.8,27.59,65.2,-6.4,-3.5,157,548.1908323,0,1
19.122602,43.155515,76.9,6,26.87,52.7,-5.6,-2.6,184,645.6373083,0,1
20.167063,42.840839,81.1,5.8,26.19,46.1,-4.9,-2,176,1079.566566,0,1
19.860373,42.837934,78.7,5.8,27.59,65.2,-6.4,-3.5,157,548.1908323,0,1
18.956166,42.780473,73.3,6.1,24.82,83.2,-3.6,-0.5,186,394.3600409,0,1
19.756191,43.036942,79.9,6.1,25.57,51.7,-4.3,-1.2,186,363.4449205,0,1
56.535,51.783,57.5,8.7,31,13.9,-20.3,-15.9,170,504.5607113,0.001951554,1
56.10634,51.879006,58.7,8.5,31,14.7,-19.6,-15.3,155,292.3773899,0.000759496,1
19.44,-28.69,26.6,16.6,0,16.3,19.2,27.5,155,36.30591556,0,1
19.44,-28.69,26.6,16.6,0,16.3,19.2,27.5,155,36.30591556,0,1
49.214036,53.878185,71.3,6,31,44.7,-15,-12,148,226.2195144,0.00409997,1
15.69,-20.44,57.5,14.7,0,83,17.1,24.4,169,200.1550243,0,1
14,-18.19,67.5,8.9,0,74,14.5,18.9,192,353.3403055,0,1
14.81,-19.31,62.5,11.3,0,69,16.2,21.8,184,168.926649,0,1
18.19,-25.19,36.3,14.8,0,39,20.2,27.6,181,68.6338855,0,1
18.19,-26.69,34.8,15.9,0,33,19.7,27.6,161,19.48375335,0,1
16.33,-17.51,67.5,13.1,0,112,19.1,25.6,182,2046.742155,0,1
15.94,-17.79,67.5,12.8,0,108,18.8,25.2,183,4374.078665,0,1
17.31,-18.44,66.3,13.5,0,123,19.3,26,182,651.9004256,0,1
16.33,-17.51,67.5,13.1,0,112,19.1,25.6,182,2046.742155,0,1
16.72,-18.31,66.3,13.5,0,116,19.1,25.8,184,679.9369046,0,1
53.762398,53.982737,65.5,7.6,31,28.1,-18.5,-14.7,159,435.5378945,0.001359374,1
21.4578,39.2956,56.8,8,15.26,122.3,1,5,203,116.2324535,2.29E-11,1
47.044996,50.723132,72.8,6.8,30.86,35.9,-12.5,-9.1,150,225.2605173,0.000317444,1
43.64954,51.109974,77.8,6,30.82,48.8,-12.3,-9.3,157,249.2826187,0.000180705,1
50.775044,53.70315,67.2,6.3,31,47,-16.1,-12.9,144,224.6525478,0.001929675,1
49.562929,52.992708,70.8,6.5,31,41,-15.3,-12,158,170.7139539,0.001472443,1
16.69,-18.56,63.8,14,0,111,19.1,26.1,181,0,0,1
16.2,-17.97,67.5,13.1,0,112,19.1,25.6,182,2046.742155,0,1
15.81,-17.56,67.5,12.8,0,108,18.8,25.2,183,4374.078665,0,1
16.5,-18.4,66.3,13.5,0,116,19.1,25.8,184,679.9369046,0,1
16.56,-18.06,66.3,13.5,0,116,19.1,25.8,184,679.9369046,0,1
16.46,-18.45,66.3,13.3,0,108,19.2,25.8,183,1855.0008,0,1
16.02,-17.87,67.5,13.1,0,112,19.1,25.6,182,2046.742155,0,1
16.12,-17.92,67.5,13.1,0,112,19.1,25.6,182,2046.742155,0,1
19.31,-17.81,67.5,12.4,0,152,18.6,24.8,184,243.3585319,0,1
16.32,-18.45,66.3,13.3,0,108,19.2,25.8,183,1855.0008,0,1
16.18,-17.73,67.5,13.1,0,112,19.1,25.6,182,2046.742155,0,1
16.72,-18.31,66.3,13.5,0,116,19.1,25.8,184,679.9369046,0,1
18.31,-19.81,63.8,12.6,0,125,18,24.3,178,279.8628121,0,1
18.81,-21.06,60,13.7,0,93,18.3,25.1,191,320.6507895,0,1
18.14,-21.04,60,13.8,0,92,17.9,24.8,192,325.0451996,0,1
19.94,-17.94,67.5,12.2,0,157,18.4,24.5,181,154.5152331,0,1
19.69,-18.06,66.3,12.2,0,146.8,19.1,25.2,184,272.3035181,0,1
18.81,-23.56,43.8,14.2,0,53,19.1,26.2,184,71.21063901,0,1
19.96,-18.35,66.3,12.2,0,146.8,19.1,25.2,184,272.3035181,0,1
55.3434,51.0997,58.2,8.1,31,14.6,-18.7,-14.6,155,238.1004377,0.001229502,1
55.726,51.6714,59.5,8.3,31,15.8,-18.9,-14.7,151,277.8678033,0.000568877,1
56.71282,51.39945,59.3,8.7,31,12.6,-19.8,-15.4,169,197.0824381,0,1
46.875,51.273,75.2,6.4,30.78,46.1,-12.1,-8.9,149,310.2914362,0.00160353,1
20.127361,41.51844,81,6.6,24.49,79.1,-3.3,0,131,1087.326487,0,1
20.127361,41.51844,81,6.6,24.49,79.1,-3.3,0,131,1087.326487,0,1
20.127361,41.51844,81,6.6,24.49,79.1,-3.3,0,131,1087.326487,0,1
20.127361,41.51844,81,6.6,24.49,79.1,-3.3,0,131,1087.326487,0,1
20.127361,41.51844,81,6.6,24.49,79.1,-3.3,0,131,1087.326487,0,1
20.542165,42.011851,81.2,6.3,27.14,57.7,-5.9,-2.7,144,0,0,1
19.5789,41.0503,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.5789,41.0503,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.5789,41.0503,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.5789,41.0503,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.5789,41.0503,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.5789,41.0503,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.5789,41.0503,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.5789,41.0503,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.5789,41.0503,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.5789,41.0503,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.601714,41.050567,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.601714,41.050567,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.601714,41.050567,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.601714,41.050567,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.601714,41.050567,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.601714,41.050567,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.601714,41.050567,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.601714,41.050567,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.632426,41.027939,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.55905,41.041167,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.55905,41.041167,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.55905,41.041167,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.55905,41.041167,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.55905,41.041167,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.55905,41.041167,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.55905,41.041167,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.55905,41.041167,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.55905,41.041167,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.55905,41.041167,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
19.78507,41.389714,71.1,8.3,12.33,103.8,2.1,6.2,170,1531.08631,0,1
